participant,trial_num,type,true_value,reported_value,error
1,1,bar,40,40.0,0.0
1,2,bar,100,100.0,0.0
1,3,pie,85,90.0,-5.0
1,4,pie,75,80.0,-5.0
1,5,bar,65,75.0,-10.0
1,6,bubble,95,100.0,-5.0
1,7,pie,5,5.0,0.0
1,8,pie,15,8.0,7.0
1,9,bubble,10,10.0,0.0
1,10,pie,55,30.0,25.0
1,11,bubble,25,20.0,5.0
1,12,pie,65,50.0,15.0
1,13,bar,10,10.0,0.0
1,14,pie,70,70.0,0.0
1,15,bubble,70,95.0,-25.0
1,16,bubble,50,90.0,-40.0
1,17,pie,20,10.0,10.0
1,18,pie,100,100.0,0.0
1,19,pie,30,20.0,10.0
1,20,pie,90,100.0,-10.0
1,21,bar,20,20.0,0.0
1,22,bubble,65,90.0,-25.0
1,23,bar,30,30.0,0.0
1,24,bar,15,10.0,5.0
1,25,bar,85,85.0,0.0
1,26,pie,60,50.0,10.0
1,27,bubble,20,30.0,-10.0
1,28,bar,50,40.0,10.0
1,29,bubble,85,100.0,-15.0
1,30,bar,5,5.0,0.0
1,31,bubble,90,100.0,-10.0
1,32,bubble,55,80.0,-25.0
1,33,bubble,45,10.0,35.0
1,34,pie,95,100.0,-5.0
1,35,bar,25,20.0,5.0
1,36,bar,45,40.0,5.0
1,37,bubble,80,100.0,-20.0
1,38,bar,95,99.0,-4.0
1,39,bubble,5,5.0,0.0
1,40,pie,50,30.0,20.0
1,41,pie,80,100.0,-20.0
1,42,bar,70,97.0,-27.0
1,43,bar,60,60.0,0.0
1,44,bubble,60,95.0,-35.0
1,45,bar,75,75.0,0.0
1,46,bar,35,30.0,5.0
1,47,bar,80,80.0,0.0
1,48,pie,35,25.0,10.0
1,49,bar,55,50.0,5.0
1,50,pie,40,30.0,10.0
1,51,bubble,15,10.0,5.0
1,52,bubble,35,80.0,-45.0
1,53,bar,90,95.0,-5.0
1,54,pie,10,5.0,5.0
1,55,bubble,100,100.0,0.0
1,56,bubble,30,30.0,0.0
1,57,bubble,75,90.0,-15.0
1,58,bubble,40,50.0,-10.0
1,59,pie,45,30.0,15.0
1,60,pie,25,15.0,10.0
2,1,bubble,10,20.0,-10.0
2,2,bubble,20,33.0,-13.0
2,3,pie,5,10.0,-5.0
2,4,bar,70,75.0,-5.0
2,5,bubble,35,75.0,-40.0
2,6,bubble,65,85.0,-20.0
2,7,pie,80,90.0,-10.0
2,8,bar,100,100.0,0.0
2,9,bar,65,75.0,-10.0
2,10,pie,40,40.0,0.0
2,11,bubble,40,50.0,-10.0
2,12,bubble,100,100.0,0.0
2,13,bar,50,50.0,0.0
2,14,pie,45,30.0,15.0
2,15,bar,40,45.0,-5.0
2,16,bubble,55,66.0,-11.0
2,17,pie,90,90.0,0.0
2,18,bubble,25,25.0,0.0
2,19,bar,85,80.0,5.0
2,20,pie,15,20.0,-5.0
2,21,bubble,60,40.0,20.0
2,22,bubble,70,80.0,-10.0
2,23,bubble,30,50.0,-20.0
2,24,bubble,5,10.0,-5.0
2,25,bubble,50,40.0,10.0
2,26,bar,95,95.0,0.0
2,27,pie,10,15.0,-5.0
2,28,bar,5,10.0,-5.0
2,29,pie,55,50.0,5.0
2,30,bar,30,33.0,-3.0
2,31,bar,20,25.0,-5.0
2,32,bar,90,85.0,5.0
2,33,bubble,75,80.0,-5.0
2,34,pie,85,80.0,5.0
2,35,bubble,90,95.0,-5.0
2,36,pie,100,95.0,5.0
2,37,bar,75,80.0,-5.0
2,38,pie,70,75.0,-5.0
2,39,pie,35,33.0,2.0
2,40,bubble,15,30.0,-15.0
2,41,pie,25,20.0,5.0
2,42,bar,15,15.0,0.0
2,43,bar,45,40.0,5.0
2,44,bar,35,40.0,-5.0
2,45,pie,50,60.0,-10.0
2,46,bar,10,15.0,-5.0
2,47,bar,60,65.0,-5.0
2,48,bar,80,85.0,-5.0
2,49,pie,75,85.0,-10.0
2,50,pie,30,40.0,-10.0
2,51,pie,60,50.0,10.0
2,52,pie,95,100.0,-5.0
2,53,bar,55,55.0,0.0
2,54,pie,20,20.0,0.0
2,55,bubble,95,100.0,-5.0
2,56,bubble,80,95.0,-15.0
2,57,bubble,45,30.0,15.0
2,58,bar,25,30.0,-5.0
2,59,bubble,85,95.0,-10.0
2,60,pie,65,65.0,0.0
3,1,pie,5,12.0,-7.0
3,2,pie,100,5.0,95.0
3,3,pie,40,40.0,0.0
3,4,pie,95,2.0,93.0
3,5,pie,85,3.0,82.0
3,6,bar,70,75.0,-5.0
3,7,bubble,100,2.0,98.0
3,8,bubble,90,8.0,82.0
3,9,bar,100,1.0,99.0
3,10,bubble,75,12.0,63.0
3,11,pie,25,24.0,1.0
3,12,bar,50,66.0,-16.0
3,13,pie,15,14.0,1.0
3,14,pie,65,84.0,-19.0
3,15,pie,30,26.0,4.0
3,16,bar,10,5.0,5.0
3,17,bar,65,80.0,-15.0
3,18,bubble,70,87.0,-17.0
3,19,bubble,40,66.0,-26.0
3,20,pie,10,3.0,7.0
3,21,bubble,60,69.0,-9.0
3,22,bar,5,6.0,-1.0
3,23,bar,25,26.0,-1.0
3,24,bar,60,74.0,-14.0
3,25,bubble,85,98.0,-13.0
3,26,pie,80,90.0,-10.0
3,27,bubble,20,50.0,-30.0
3,28,pie,20,30.0,-10.0
3,29,bar,35,50.0,-15.0
3,30,bubble,45,68.0,-23.0
3,31,bubble,65,89.0,-24.0
3,32,bubble,15,40.0,-25.0
3,33,bubble,35,70.0,-35.0
3,34,pie,55,79.0,-24.0
3,35,bubble,30,59.0,-29.0
3,36,bar,15,10.0,5.0
3,37,bar,95,93.0,2.0
3,38,bar,20,30.0,-10.0
3,39,pie,75,79.0,-4.0
3,40,bubble,55,74.0,-19.0
3,41,bar,30,45.0,-15.0
3,42,bubble,10,12.0,-2.0
3,43,pie,90,94.0,-4.0
3,44,bar,45,48.0,-3.0
3,45,bar,80,96.0,-16.0
3,46,pie,70,79.0,-9.0
3,47,bar,40,43.0,-3.0
3,48,bar,85,87.0,-2.0
3,49,bubble,95,99.0,-4.0
3,50,bubble,25,34.0,-9.0
3,51,bubble,80,90.0,-10.0
3,52,pie,50,41.0,9.0
3,53,bubble,50,88.0,-38.0
3,54,bar,90,94.0,-4.0
3,55,bar,55,56.0,-1.0
3,56,pie,45,46.0,-1.0
3,57,pie,60,60.0,0.0
3,58,pie,35,33.0,2.0
3,59,bar,75,88.0,-13.0
3,60,bubble,5,24.0,-19.0
4,1,pie,80,60.0,20.0
4,2,bubble,45,75.0,-30.0
4,3,bubble,35,50.0,-15.0
4,4,bubble,60,75.0,-15.0
4,5,pie,75,75.0,0.0
4,6,bar,25,25.0,0.0
4,7,pie,5,5.0,0.0
4,8,bar,65,80.0,-15.0
4,9,pie,70,80.0,-10.0
4,10,bubble,95,95.0,0.0
4,11,bubble,15,15.0,0.0
4,12,bar,5,5.0,0.0
4,13,bubble,40,30.0,10.0
4,14,pie,25,20.0,5.0
4,15,bubble,25,25.0,0.0
4,16,bar,60,66.0,-6.0
4,17,pie,95,80.0,15.0
4,18,bubble,85,90.0,-5.0
4,19,bubble,90,95.0,-5.0
4,20,bar,10,5.0,5.0
4,21,bar,95,98.0,-3.0
4,22,bar,80,80.0,0.0
4,23,bubble,100,99.0,1.0
4,24,bubble,5,10.0,-5.0
4,25,bar,85,80.0,5.0
4,26,pie,15,20.0,-5.0
4,27,bubble,50,80.0,-30.0
4,28,pie,10,5.0,5.0
4,29,pie,90,95.0,-5.0
4,30,bubble,65,90.0,-25.0
4,31,pie,85,85.0,0.0
4,32,pie,100,98.0,2.0
4,33,bubble,80,97.0,-17.0
4,34,bar,90,95.0,-5.0
4,35,bar,50,55.0,-5.0
4,36,bar,20,23.0,-3.0
4,37,bar,75,78.0,-3.0
4,38,pie,20,35.0,-15.0
4,39,pie,40,40.0,0.0
4,40,bar,30,33.0,-3.0
4,41,bubble,30,25.0,5.0
4,42,bar,70,80.0,-10.0
4,43,pie,35,30.0,5.0
4,44,pie,30,27.0,3.0
4,45,bubble,75,80.0,-5.0
4,46,pie,50,50.0,0.0
4,47,bar,40,45.0,-5.0
