"id","response"
"pie1","12"
"pie20","5"
"pie8","40"
"pie19","2"
"pie17","3"
"bar14","75"
"bubble20","2"
"bubble18","8"
"bar20","1"
"bubble15","12"
"pie5","24"
"bar10","66"
"pie3","14"
"pie13","84"
"pie6","26"
"bar2","5"
"bar13","80"
"bubble14","87"
"bubble8","66"
"pie2","3"
"bubble12","69"
"bar1","6"
"bar5","26"
"bar12","74"
"bubble17","98"
"pie16","90"
"bubble4","50"
"pie4","30"
"bar7","50"
"bubble9","68"
"bubble13","89"
"bubble3","40"
"bubble7","70"
"pie11","79"
"bubble6","59"
"bar3","10"
"bar19","93"
"bar4","30"
"pie15","79"
"bubble11","74"
"bar6","45"
"bubble2","12"
"pie18","94"
"bar9","48"
"bar16","96"
"pie14","79"
"bar8","43"
"bar17","87"
"bubble19","99"
"bubble5","34"
"bubble16","90"
"pie10","41"
"bubble10","88"
"bar18","94"
"bar11","56"
"pie9","46"
"pie12","60"
"pie7","33"
"bar15","88"
"bubble1","24"
