id,response
bubble20,50
bubble7,50
bubble11,75
pie17,90
pie5,30
pie10,50
bar2,30
bar14,90
pie15,80
pie12,50
pie14,50
bar9,50
pie1,10
pie6,25
pie16,90
pie8,30
bar1,10
bar16,90
bubble5,40
bar3,20
pie7,30
bar7,30
bar17,80
bar11,50
pie18,100
bar13,60
bar15,75
bar12,60
bar5,25
bubble6,50
bubble17,90
bubble9,60
pie19,100
pie3,15
bubble8,60
pie20,100
pie13,60
bar10,50
pie2   ,10
bubble12,80
bubble19,100
bar19,90
bubble10,60
bubble15,80
pie9,30
bar8,40
bar6,75
bubble4,30
bubble18,100
bubble13,80
bar4,20
bubble14,80
pie11,60
bar20,100
bar18,90
bubble2 ,25
bubble1,20
pie4,20
bubble16,90
bubble3,25
