"id","response"
"bubble16","95"
"bubble7","70"
"bubble1","10"
"bubble20","97"
"pie12","55"
"bubble9","80"
"bubble19","50"
"pie16","75"
"bar2","15"
"bubble5","50"
"bar19","98"
"bubble4","38"
"bubble8","50"
"bubble17","95"
"bar14","75"
"pie19","95"
"pie20","50"
"pie8","60"
"bubble14","90"
"pie2","10"
"bar16","80"
"bar15","62"
"bar1","5"
"bar7","40"
"bar3","12"
"bar10","60"
"bar9","48"
"bar6","40"
"pie11","50"
"bubble12","95"
"bubble18","98"
"pie15","87"
"bubble13","95"
"bubble6","50"
"bar5","30"
"pie1","5"
"bar4","20"
"bubble15","90"
"pie10","50"
"pie6","40"
"pie14","75"
"bar18","80"
"pie13","70"
"pie4","20"
"bar13","60"
"pie17","90"
"bubble10","85"
"bar20","50"
"bubble2","20"
"bar17","80"
"bubble3","25"
"pie7","45"
"bar8","45"
"pie18","95"
"pie3","10"
"pie9","78"
"bubble11","90"
"bar11","55"
"bar12","65"
"pie5","30"
