nums,mark1,mark2,ratio
"[38.95363901926187, 7.261469971305871, 22.75174687481028, 15.47329391766422, 3.0045139465099933, 3.8401470183706143, 8.715189252077142]",0,4,0.07713050749955133
"[38.68798622986309, 10.520941920351417, 3.1933578966876173, 5.84679063235569, 23.817522059380053, 17.933401261362103]",2,0,0.08254133150571373
"[8.072522129016246, 33.898976287566185, 23.42978852412583, 31.554588076914417, 3.0441249823773093]",1,4,0.08979990889854289
"[8.457087617418678, 16.020187318018028, 13.041924056934382, 24.757023479660155, 3.1188256139462545, 34.6049519140225]",5,4,0.09012656979541864
"[14.498071781635167, 34.37264396111263, 3.4349978854564727, 3.134352527040813, 27.0255446102531, 17.534389234501802]",3,1,0.09118741434574693
"[3.1160505445412676, 23.356662292710173, 30.84725537157468, 33.669554541512476, 9.010477249661392]",0,3,0.09254801814200929
"[9.38375894046163, 31.991027771374636, 7.514867810285224, 11.73877327952238, 3.0156179766795974, 8.806666032727085, 22.533592470681445, 5.015695718267973]",4,1,0.09426449185161699
"[19.781178929847044, 21.845586381461423, 31.889158728657264, 20.11467022798503, 3.3094475964335377, 3.059958135615701]",2,5,0.09595606336475294
"[14.257835516367635, 3.095857587453279, 16.434313963722786, 31.427238860908115, 18.815931454592533, 15.96882261695565]",3,1,0.09850873635940607
"[24.67769370991711, 35.33429618184229, 13.746220577148904, 11.421162305556322, 3.523537495345315, 11.297089730190049]",1,4,0.09972004188825481
"[25.001420569500763, 6.717690180656168, 28.995855200851466, 3.264280527335159, 4.030389988219656, 31.990363533436778]",5,3,0.10203949460978419
"[3.2035953524835747, 31.099033837723248, 36.371732311339194, 19.587773554342633, 9.73786494411136]",1,0,0.10301269708892374
"[4.10912848157664, 16.14329651235892, 9.191788235060457, 14.781609045156017, 28.931453804684676, 3.022405332067768, 23.820318589095525]",5,4,0.10446780007917784
"[33.72290662313847, 14.901404395376161, 3.6510211174866214, 35.07479150107679, 12.64987636292197]",2,0,0.10826531527331418
"[3.6477944596918968, 18.214884397638823, 33.435948877798694, 10.420032497190233, 27.362058949111677, 6.919280818568674]",0,2,0.10909797933427319
"[12.556307814560638, 28.085232102358734, 3.6453491602579997, 33.36211339177121, 3.9538020485325363, 18.397195482518885]",2,3,0.1092661342358823
"[20.396407151942707, 28.412094442152927, 3.277171540569463, 29.96287416182153, 17.951452703513365]",2,3,0.10937440523463568
"[3.777944341434802, 7.046459042765992, 30.45073119886407, 34.46385900055929, 24.26100641637584]",3,0,0.10962046767233735
"[36.95078584093625, 26.541960197587198, 27.855848041131452, 4.05975270915429, 4.591653211190812]",3,0,0.10986918455890207
"[4.095540725891138, 31.623312898814635, 3.6367127775361863, 27.90552544160389, 32.73890815615414]",4,2,0.11108228656222216
"[3.859500845684569, 20.5357465500977, 6.96728732283094, 34.06182193007867, 34.57564335130812]",0,4,0.11162484545753362
"[28.05520322720296, 10.790831353902766, 3.8367065604335084, 33.84638813003981, 23.47087072842095]",3,2,0.1133564546294469
"[8.064904789692292, 13.040489214416993, 35.10231378117197, 13.856268292635953, 15.173402230657368, 10.7324825139302, 4.0301391774952195]",2,6,0.11481121166596397
"[3.708297523072867, 17.84534084756148, 6.949803659929035, 32.19119884708097, 3.8651216339059054, 3.3881602719366772, 26.91250262144835, 5.139574595064727]",3,0,0.1151960056128549
"[3.5966360303067533, 22.992476791188338, 31.201563526306465, 17.22761888289255, 24.981704769305907]",2,0,0.1152710192639667
"[32.056738981184104, 3.730793092648011, 16.318551357408765, 18.44557844167522, 29.448338127083893]",0,1,0.11638092991423184
"[3.421610521820796, 29.268575603912996, 22.04446778819987, 28.26287188318597, 17.00247420288037]",1,0,0.11690389611455337
"[27.07632634530996, 28.974462774940932, 14.499136275283488, 3.4136814999470686, 26.036393104518552]",3,1,0.11781690402554937
"[8.658670742685663, 36.8334209812318, 26.70774624294003, 4.950987249029394, 15.067630910132296, 4.369474346875343, 3.4120695271054995]",1,5,0.11862798052621225
"[6.099398638030409, 25.559304176588114, 27.841364672164996, 37.46709112377839, 3.0328413894380883]",4,1,0.11865899668020381
"[35.01217659723876, 12.029214243996131, 15.877718771175092, 4.188115123097862, 32.892775264492165]",3,0,0.11961881636996421
"[12.254466387032187, 28.49127181855129, 7.720905212021987, 32.62075199944017, 3.9581954150468945, 14.954409167907457]",3,4,0.12133979667650902
"[3.2034099583234465, 26.336638818478892, 28.655881840669544, 27.593822352374644, 14.210247030153461]",0,1,0.12163321145125776
"[25.266158435306973, 18.30459839318522, 25.794357976247404, 8.195763311220823, 3.1387396617656735, 19.30038222227392]",2,4,0.12168318609270931
"[17.41222750807016, 36.40135759424592, 4.663031465084386, 3.2574069249781363, 38.265976507621374]",4,2,0.12185842073455665
"[3.079212319783223, 15.45833820571634, 21.14236531298244, 19.933749131580385, 24.981999447910127, 3.5186823612819516, 11.885653220745537]",0,4,0.12325724072661506
"[30.175207049627453, 22.315262492624118, 4.340883327201896, 38.42827487703699, 4.740372253509531]",3,4,0.1233563637368006
"[21.361479030653623, 33.27914241667908, 7.391775516045993, 10.55708901851995, 23.287358474778614, 4.1231555433227625]",1,5,0.12389608757635202
"[4.206532469674561, 33.94558703275993, 13.135464689330314, 7.009788844827826, 5.438325485487205, 36.26430147792016]",1,0,0.12391986226707331
"[9.253725368337907, 20.334072683443253, 25.50295887333918, 9.084273882117083, 3.6010527120274127, 18.956528539750742, 3.213383833081765, 10.054004107902667]",6,2,0.12600043191227664
"[24.37372600995423, 17.219290669652164, 3.4239906530007, 26.997571915427102, 27.985420751965787]",3,2,0.12682587396106332
"[32.251803812716254, 28.38939577359287, 3.631501484349056, 26.0591953543072, 9.66810357503461]",1,2,0.12791753348012397
"[28.20722027725482, 32.381645790055074, 6.233033240994994, 29.0321375423432, 4.145963149351914]",4,1,0.1280343555183105
"[3.0845664044990806, 8.819907096569354, 13.983920941099958, 21.940697393393815, 15.579957256160265, 24.009662193915077, 12.581288714362461]",0,5,0.12847187851234418
"[26.5798725312678, 27.15324184814601, 13.909807581606449, 3.6894484658451456, 28.66762957313461]",3,4,0.1286973677552556
"[4.4931007651556225, 32.758129481981726, 13.998508501937692, 4.25550275426812, 18.550258260227658, 25.944500236429178]",3,1,0.12990676884065727
"[27.48558791247151, 20.420819881250175, 3.6740721286680498, 16.920273708611763, 3.2334270916379593, 28.26581927736054]",2,5,0.12998286349374602
"[6.815859095394638, 3.0259896010996714, 12.177117024060209, 14.207821143917593, 22.954757375878916, 19.279596705028773, 21.5388590546202]",1,4,0.13182407252447856
"[6.238542527489195, 3.8790300838661236, 7.683461289159423, 29.39027656682898, 20.336985088841722, 32.47170444381456]",1,3,0.1319834495277989
"[27.677661332715356, 19.660518950821213, 8.19276362786732, 16.131263393637852, 25.03319319621579, 3.3045994987424803]",4,5,0.13200870831141226
"[14.809899607667617, 19.090513954790485, 4.725024781450139, 35.793019781364784, 25.58154187472699]",2,3,0.13200967144745265
"[18.847377668400927, 15.138880511126112, 24.5794639295981, 8.358046731884972, 6.113466442214815, 6.7839875970349075, 3.9946709929442177, 3.252400702612118, 12.931705424183821]",2,7,0.13232187292317804
"[3.258059444068494, 24.545287277819543, 22.057167466103163, 21.026355142966995, 3.794783368082048, 14.006830025796605, 11.311517275163167]",0,1,0.13273665967693332
"[18.19343783918443, 24.76186573023842, 3.0316059361866685, 22.82279041774169, 6.176674591170402, 10.677926629382629, 14.335698856095771]",2,3,0.13283239606976355
"[20.174253506058555, 15.90517184336701, 7.584084489875605, 27.494329606283888, 25.429026246003776, 3.4131343084111685]",5,4,0.13422198221009543
"[24.400402655753833, 26.744076711661755, 22.22316564104869, 3.6054536257105334, 23.026901365825182]",3,1,0.13481316497040913
"[3.537577486195202, 24.822326367872936, 15.110499085629936, 12.009329809057814, 26.185017224691883, 18.335250026552224]",4,0,0.13509929956659894
"[11.125374493664316, 7.894953971575144, 13.189001322270625, 10.034761075640183, 20.882047689833954, 32.47290452542457, 4.40095692159121]",6,5,0.13552704896309764
"[17.666507059348202, 3.3061114684163133, 13.005390055124908, 7.308715254410976, 5.749624990713733, 16.00223566712793, 7.703898310957791, 4.919564087331241, 24.337953106568914]",1,8,0.13584180452397948
"[20.618305970990676, 18.995651872991434, 27.259732710439554, 23.141452307367988, 3.15215615832491, 6.832700979885448]",4,3,0.13621254692477955
"[25.845797930149022, 20.63830678434519, 37.49238293591575, 6.3878274072785795, 6.096237637492504, 3.5394473048189496]",0,5,0.13694478748091574
"[28.127577445346578, 26.23411188314284, 18.318329475885502, 3.854219946475304, 23.465761249149793]",3,0,0.13702637399058856
"[32.45805607170171, 29.936150881010278, 10.981719698017649, 22.50782719640985, 4.11624615286052]",1,4,0.13750084869700543
"[10.468731652865115, 30.72990931565023, 19.81108248925748, 34.27353121429642, 4.716745327930753]",3,4,0.13762064079242792
"[17.759438142492833, 28.284470184011216, 27.840492002898355, 3.865413952629633, 22.250185717967955]",2,3,0.13884143829883544
"[4.579069739974282, 16.323911247588125, 20.870896097525222, 4.690062095779837, 7.971332650911432, 10.414376024050304, 10.189154527717543, 21.910396495752007, 3.0508011207012635]",8,7,0.13923988647547997
"[21.61471383627707, 25.082282434936626, 27.651137305274865, 21.79061739926979, 3.8612490242416415]",2,4,0.13964159888298883
"[32.44366513534926, 32.20975099588251, 6.89165521654241, 4.499585874154099, 23.955342778071703]",3,1,0.13969638805122392
"[24.21828538431076, 25.73706758060549, 26.979423179342987, 19.452336735890462, 3.612887119850309]",1,4,0.14037679733851452
"[22.189411372172618, 27.368305476316895, 19.592934452005203, 3.8480265413994785, 7.071654374451519, 6.029656939591001, 13.900010844063296]",1,3,0.1406015635395973
