"id","response"
"pie16","60"
"bubble9","75"
"bubble7","50"
"bubble12","75"
"pie15","75"
"bar5","25"
"pie1","5"
"bar13","80"
"pie14","80"
"bubble19","95"
"bubble3","15"
"bar1","5"
"bubble8","30"
"pie5","20"
"bubble5","25"
"bar12","66"
"pie19","80"
"bubble17","90"
"bubble18","95"
"bar2","5"
"bar19","98"
"bar16","80"
"bubble20","99"
"bubble1","10"
"bar17","80"
"pie3","20"
"bubble10","80"
"pie2","5"
"pie18","95"
"bubble13","90"
"pie17","85"
"pie20","98"
"bubble16","97"
"bar18","95"
"bar10","55"
"bar4","23"
"bar15","78"
"pie4","35"
"pie8","40"
"bar6","33"
"bubble6","25"
"bar14","80"
"pie7","30"
"pie6","27"
"bubble15","80"
"pie10","50"
"bar8","45"
"bubble2","10"
"pie13","68"
"bubble14","80"
"bubble4","25"
"bar9","50"
"bar3","10"
"bubble11","65"
"pie11","45"
"bar20","100"
"bar7","40"
"pie9","33"
"pie12","45"
"bar11","60"
