id,response
pie17,100
bar15,80
bar2,5
bubble15,95
pie19,100
bubble18,100
pie6,20
pie15,75
pie4,12.5
bar11,50
bar18,95
bar20,100
pie7,33
pie2,5
pie16,100
bar12,60
pie10,50
bubble12,75
bubble6,25
bar17,90
bubble14,75
bar5,20
bubble16,95
bar1,5
pie11,66
pie12,75
bubble20,100
pie3,10
bar4,20
bar9,40
bar6,33
bubble9,50
pie8,33
bubble19,100
pie14,80
bubble8,60
pie13,66
bar10,50
bubble10,75
bubble2,10
bubble5,20
bar16,80
bubble4,25
bubble11,66
pie5,20
bubble13,80
bar13,75
pie20,100
bubble7,50
bar19,95
pie9,50
bar7,40
bar3,20
bar14,75
bubble1,10
pie1,5
bubble17,95
pie18,100
bubble3,25
bar8,40
